Area Served,Callsign,Frequency(MHz),Purpose,Polarisation,Antenna Height,Antenna Pattern,Maximum ERP (W),Technical Specification Number,Licence Number,Site id,Site Name,Zone,Easting,Northing,Latitude,Longitude,State,Channel,BSL,Licence Area,Licence Area ID,Status,,Latitude (deg),Longitude (deg)
Kalgoorlie,VEW12,226.625,Commercial,H,73,DA,4000,10012562,1940278,9001927,BA Site  Peters Hill Graeme St HANNANS,0,0,0,30 43 2S,121 26 25E,WA,12,10416,KALGOORLIE TV1,312,Issued,,30.7172222222222,121.440277777778
Laverton,ABC11,219.5,National,H,33,OD,40,1132143,1957097,29876,Broadcast Australia Site Off Hawks Place LAVERTON,0,0,0,28 37 41S,122 23 57E,WA,11,,,,Issued,,28.6280555555556,122.399166666667
Leeman,ABC6,177.5,National,H,27,DA,15,1132144,1904095,30633,Broadcast Site 1km S of LEEMAN,0,0,0,29 57 43S,114 58 46E,WA,6,,,,Issued,,29.9619444444444,114.979444444444
Leinster,ABC11,219.5,National,H,33,OD,40,1131893,1907978,29772,Broadcast Site LEINSTER,0,0,0,27 55 8S,120 42 3E,WA,11,,,,Issued,,27.9188888888889,120.700833333333
Leonora,ABC10,212.5,National,H,60,DA,90,1132151,1957098,29850,Telstra Site Laverton-Leonora Rd  3km E of LEONORA,0,0,0,28 53 9S,121 21 54E,WA,10,,,,Issued,,28.8858333333333,121.365
Marble Bar,ABC7,184.625,National,H,24,DA,10,1132165,1904579,151671,Broadcast Site 67 Augusta St MARBLE BAR,0,0,0,21 10 16S,119 44 56E,WA,7,,,,Issued,,21.1711111111111,119.748888888889
Meekatharra,WDW7,184.5,Commercial,H,24,OD,5,1131902,1952169,151479,Broadcast Site cnr Roberts St and Oliver St MEEKATHARRA,0,0,0,26 35 49S,118 29 52E,WA,7,1130047,WESTERN ZONE TV1,641,Issued,,26.5969444444444,118.497777777778
Meekatharra,ABC9,198.5,National,H,24,OD,5,1131901,1903594,151479,Broadcast Site cnr Roberts St and Oliver St MEEKATHARRA,0,0,0,26 35 49S,118 29 52E,WA,9,,,,Issued,,26.5969444444444,118.497777777778
Meekatharra,SBS9A,205.5,National,H,24,OD,5,1134290,1957877,151479,Broadcast Site cnr Roberts St and Oliver St MEEKATHARRA,0,0,0,26 35 49S,118 29 52E,WA,9A,,,,Issued,,26.5969444444444,118.497777777778
Meekatharra,WAW10,212.5,Commercial,H,24,OD,5,1134289,1952152,151479,Broadcast Site cnr Roberts St and Oliver St MEEKATHARRA,0,0,0,26 35 49S,118 29 52E,WA,10,4747,WESTERN ZONE TV1,641,Issued,,26.5969444444444,118.497777777778
Meekatharra,WOW12,226.5,Commercial,H,24,OD,5,1131903,1952134,151479,Broadcast Site cnr Roberts St and Oliver St MEEKATHARRA,0,0,0,26 35 49S,118 29 52E,WA,12,10048,REMOTE AND REGIONAL WESTERN AUSTRALIA TV1,801,Issued,,26.5969444444444,118.497777777778
Menzies,ABC10,212.5,National,H,50,OD,5,1132175,1963639,29739,Telstra Radio Terminal cnr Walsh and Brown Sts MENZIES,0,0,0,29 41 38S,121 1 48E,WA,10,,,,Issued,,29.6938888888889,121.03
Morawa,ABC7,184.5,National,H,60,DA,3200,1131595,1910183,31395,Broadcast Site 17 km SW of MORAWA,0,0,0,29 19 1S,115 52 46E,WA,7,,,,Issued,,29.3169444444444,115.879444444444
Mount Magnet,WDW7,184.5,Commercial,H,25,DA,7.5,1134276,1952170,151399,Broadcast Australia Site Lot 405 Criddle St MT MAGNET,0,0,0,28 3 23S,117 50 33E,WA,7,1130047,WESTERN ZONE TV1,641,Issued,,28.0563888888889,117.8425
Mount Magnet,ABC9,198.5,National,H,25,DA,7.5,1131909,1903593,151399,Broadcast Australia Site Lot 405 Criddle St MT MAGNET,0,0,0,28 3 23S,117 50 33E,WA,9,,,,Issued,,28.0563888888889,117.8425
Mount Magnet,SBS9A,205.5,National,H,25,DA,7.5,1134279,1957878,151399,Broadcast Australia Site Lot 405 Criddle St MT MAGNET,0,0,0,28 3 23S,117 50 33E,WA,9A,,,,Issued,,28.0563888888889,117.8425
Mount Magnet,WAW11,219.5,Commercial,H,25,DA,7.5,1134277,1952153,151399,Broadcast Australia Site Lot 405 Criddle St MT MAGNET,0,0,0,28 3 23S,117 50 33E,WA,11,4747,WESTERN ZONE TV1,641,Issued,,28.0563888888889,117.8425
Mount Magnet,WOW12,226.5,Commercial,H,25,DA,7.5,1134278,1952136,151399,Broadcast Australia Site Lot 405 Criddle St MT MAGNET,0,0,0,28 3 23S,117 50 33E,WA,12,10048,REMOTE AND REGIONAL WESTERN AUSTRALIA TV1,801,Issued,,28.0563888888889,117.8425
Newman,ABC6,177.5,National,H,26,DA,40,1132225,1904577,151609,Broadcast Australia Site TV Hill  off Giles Ave  1km NW of NEWMAN,0,0,0,23 20 57S,119 43 30E,WA,6,,,,Issued,,23.3491666666667,119.725
Newman,WAW7,184.5,Commercial,H,26,DA,40,1134268,1952160,151609,Broadcast Australia Site TV Hill  off Giles Ave  1km NW of NEWMAN,0,0,0,23 20 57S,119 43 30E,WA,7,4747,WESTERN ZONE TV1,641,Issued,,23.3491666666667,119.725
Newman,WDW8,191.5,Commercial,H,26,DA,40,1134269,1952177,151609,Broadcast Australia Site TV Hill  off Giles Ave  1km NW of NEWMAN,0,0,0,23 20 57S,119 43 30E,WA,8,1130047,WESTERN ZONE TV1,641,Issued,,23.3491666666667,119.725
Newman,WOW10,212.5,Commercial,H,26,DA,40,1134270,1952140,151609,Broadcast Australia Site TV Hill  off Giles Ave  1km NW of NEWMAN,0,0,0,23 20 57S,119 43 30E,WA,10,10048,REMOTE AND REGIONAL WESTERN AUSTRALIA TV1,801,Issued,,23.3491666666667,119.725
Newman,SBS11,219.5,National,H,26,DA,40,1132226,1903779,151609,Broadcast Australia Site TV Hill  off Giles Ave  1km NW of NEWMAN,0,0,0,23 20 57S,119 43 30E,WA,11,,,,Issued,,23.3491666666667,119.725
Norseman,ABC6,177.5,National,H,44,DA,20,1131917,1907975,30041,Telstra Site 8.5km NW of NORSEMAN,0,0,0,32 8 33S,121 43 39E,WA,6,,,,Issued,,32.1425,121.7275
Onslow,ABC7,184.5,National,H,24,DA,13,1131925,1914819,151663,Broadcast Australia Site Lot 598 Payne Way ONSLOW,0,0,0,21 38 42S,115 6 56E,WA,7,,,,Issued,,21.645,115.115555555556
Pannawonica,WOW6,177.5,Commercial,H,32,DA,13,1134256,1952131,40926,Broadcast Site Water Reservoir 2 km S of PANNAWONICA,0,0,0,21 38 60S,116 19 31E,WA,6,10048,REMOTE AND REGIONAL WESTERN AUSTRALIA TV1,801,Issued,,21.65,116.325277777778
Pannawonica,WDW7,184.5,Commercial,H,32,DA,13,1132237,1952167,40926,Broadcast Site Water Reservoir 2 km S of PANNAWONICA,0,0,0,21 38 60S,116 19 31E,WA,7,1130047,WESTERN ZONE TV1,641,Issued,,21.65,116.325277777778
Pannawonica,WAW8,191.5,Commercial,H,32,DA,13,1134257,1952150,40926,Broadcast Site Water Reservoir 2 km S of PANNAWONICA,0,0,0,21 38 60S,116 19 31E,WA,8,4747,WESTERN ZONE TV1,641,Issued,,21.65,116.325277777778
Pannawonica,ABC9,198.5,National,H,32,DA,13,1132236,1903592,40926,Broadcast Site Water Reservoir 2 km S of PANNAWONICA,0,0,0,21 38 60S,116 19 31E,WA,9,,,,Issued,,21.65,116.325277777778
Pannawonica,SBS10,212.5,National,H,32,DA,13,1134390,1952653,40926,Broadcast Site Water Reservoir 2 km S of PANNAWONICA,0,0,0,21 38 60S,116 19 31E,WA,10,,,,Issued,,21.65,116.325277777778
Paraburdoo,WOW7,184.5,Commercial,H,13,DA,100,1134254,1952141,38846,Main Tower  Rio Tinto Site Mt Misery  4km SSE of PARABURDOO,0,0,0,23 13 59S,117 39 57E,WA,7,10048,REMOTE AND REGIONAL WESTERN AUSTRALIA TV1,801,Issued,,23.2330555555556,117.665833333333
Paraburdoo,WDW9,198.5,Commercial,H,13,DA,100,1132242,1952178,38846,Main Tower  Rio Tinto Site Mt Misery  4km SSE of PARABURDOO,0,0,0,23 13 59S,117 39 57E,WA,9,1130047,WESTERN ZONE TV1,641,Issued,,23.2330555555556,117.665833333333
Paraburdoo,ABC9A,205.5,National,H,13,DA,100,1132241,1904574,38846,Main Tower  Rio Tinto Site Mt Misery  4km SSE of PARABURDOO,0,0,0,23 13 59S,117 39 57E,WA,9A,,,,Issued,,23.2330555555556,117.665833333333
Paraburdoo,WAW10,212.5,Commercial,H,13,DA,100,1134253,1952161,38846,Main Tower  Rio Tinto Site Mt Misery  4km SSE of PARABURDOO,0,0,0,23 13 59S,117 39 57E,WA,10,4747,WESTERN ZONE TV1,641,Issued,,23.2330555555556,117.665833333333
Paraburdoo,SBS12,226.5,National,H,13,DA,100,1134252,1953916,38846,Main Tower  Rio Tinto Site Mt Misery  4km SSE of PARABURDOO,0,0,0,23 13 59S,117 39 57E,WA,12,,,,Issued,,23.2330555555556,117.665833333333
Perth,TVW6,177.5,Commercial,H,175,OD,50000,10008866,1156293,26624,TXA Carmel Site 255 Welshpool Road East CARMEL,0,0,0,32 0 46S,116 3 42E,WA,6,10161,PERTH TV1,279,Issued,,32.0127777777778,116.061666666667
